NAME	O3_4363A	O3_4363A_e	O2_3726A	O2_3726A_e	O2_3729A	O2_3729A_e	O3_5007A	O3_5007A_e	H1r_6563A	H1r_6563A_e	H1r_4861A	H1r_4861A_e	
39628072189695697	50.89959975793661	7.226066802538932	264.0395590909912	17.76001628449667	320.606940137804	20.37817577963782	3005.477152735842	134.9816263012744	1530.99819742255	38.14819364002991	502.7069807397993	13.89919264864822	
39628206772327180	91.28791882384044	8.911582814369245	871.4585568250258	93.35650820108289	1208.608993473529	121.3767348789152	7146.435246599464	490.8476710870814	3785.426503588501	170.1909238642069	1226.977891477326	64.53354492413722	
39628297910357727	26.36080421416261	5.169543601589953	125.733221136771	13.10005736696554	187.7485616447712	16.5410907656147	1455.470076474749	46.30819739113334	935.0808276891931	21.21763646692578	294.8466835677772	7.245858972310372	
39628309243366322	315.9109183311461	11.23429039966497	766.7089370603431	86.2261386088002	921.1988514578156	115.5201670981245	15188.69573812271	1154.764291342316	6458.755094615186	255.0741558278114	2216.658639264364	80.76080329777595	
39628325907335510	36.5857919941623	3.666297041944355	498.5552170143925	25.6174892071513	695.029099861849	33.69439031338872	1935.534886617954	65.97133401891783	2205.786419149685	63.09110405750584	527.1459395186586	14.58068159556524	
39628370228549309	107.3766272714785	7.33122885963612	1109.505441835388	97.61484120306635	1418.308216060004	139.9940464579057	10205.77029589202	980.6403415814026	5198.805930225441	324.2380571173126	1743.193702141975	102.7985440738737	
39628364897588483	36.75987296540285	6.167993017164789	545.4713442617885	24.1644698003323	676.9695267701275	34.86108473345342	3025.309468684854	130.0438606354955	1920.876954370371	51.5884760965692	612.7783486576392	22.93221678358526	
39628403002841832	23.69691894181786	3.694386049865782	579.2046810548811	62.17784541679221	859.2020491146277	89.8081559895156	3326.075014168832	113.6725803715415	2477.164065610687	70.40882633823912	764.5567468290445	32.67827357209843	
39628408598037585	65.2999091562614	5.439727417449343	161.9792988976822	18.26861735834947	202.8706248676611	18.72046366271829	2795.042128063822	129.3528131604971	1330.069122664069	27.090200817626	431.3794145708737	13.76848317710732	
39628424762888224	23.27466220536614	4.465861919291874	171.1972888311985	19.33548850852316	278.1030286337193	26.43160340613882	1179.881138892155	60.5050163072688	686.1177747719537	17.08508705074303	237.153883431023	4.599234009313307	
39628472473096966	40.90460809305154	3.757533291966712	230.9791530498777	20.77492906412647	283.2383017377786	24.78758843695592	2282.804911677118	58.24379272693938	1168.615808006241	16.4687069450412	365.373725624689	7.79392898825756	
39628529658234298	48.35574739989175	5.901778430187679	150.2348564207613	15.47989017564574	196.4470229348214	18.34696938481565	2619.904153605173	123.9588137980172	1173.605200399971	27.70196677431372	414.2666527324125	10.75793961519526	
39633059447838286	133.8922294263666	9.86531590254279	199.9149698253367	26.56847636224483	229.8960831704138	26.81076911857633	4722.416779020833	205.2570662714868	2564.674893152105	73.0132703953151	845.6115320015667	36.49912483467977	
39633196811291388	19.96529188397346	3.438265843438419	229.7765750405686	17.65616522239954	313.0486641497803	24.47690740199221	2091.183974564953	165.8045657918754	1021.710103969055	44.54630497418093	350.4702761353252	19.79342755068541	
39633200925904049	23.18190726855009	3.796990222552445	279.8368087959419	24.4835676339655	497.0846384229618	38.91614672282114	2372.110241723364	143.1827411446664	1682.118539598203	64.82161342406786	453.8719732167636	16.80639759296597	
39633217371769585	30.81622334250459	6.156220444801369	502.1269305072963	32.40639022641242	729.2761026204367	48.22124095268358	1959.111809546242	59.72615246747955	1461.586730231442	38.22759098782794	490.3716823720041	17.18579914918494	
39633221322804356	40.3165639488862	6.83689725453307	946.0057701083479	60.66339286893498	1274.281484470891	79.46884027567833	5509.03364279066	279.2427837869054	3961.373064870229	134.1021020368153	1267.920961368742	38.16705041814502	
39633225366111632	31.96198594440579	4.313008927219551	360.3060670053332	24.14140847564212	490.2129197332434	32.58548114914529	1910.526570681844	87.58558613556357	1051.435300299412	26.19991511049077	353.6387375060165	12.75204384815197	
39633237294715130	58.01330782299189	6.075959032413007	222.041370794378	15.14942569315121	292.0185626242459	19.25271732094495	2816.158704325492	115.9750402205437	1547.795396086834	33.36338150608007	481.9728443485525	14.25772907047697	
39633237319881605	97.5889218705492	6.27082814076266	494.4976639361516	40.959365217949	651.4160107774867	56.47684008004256	5758.447241430585	390.2602037458116	2751.789360751548	110.1853307298538	911.7724547624705	41.84197000386951	
39633237391185109	98.61190751564692	8.48807656925744	422.2332039469651	54.52484980121996	559.3341228201004	78.20979737614854	4503.02220298702	229.9462866463827	2752.507501649972	75.29133689270367	896.5557428827692	23.90681322094322	
39633275878117320	26.94020364899338	1.387132399849504	114.5059986758763	6.506976893687102	134.9459704469959	6.91141001595274	1597.435340147349	50.13101012659354	847.8041717053773	17.23931367370947	241.2698798218132	11.47075819180385	
39633279619432590	23.50401399331828	1.017673200386723	66.87513411590513	6.042651180780755	84.63231456104438	6.685780656293669	1026.772913254137	28.26544532708457	431.0736528300575	7.998137107448187	155.5334019572414	2.195345786833562	
39633283285259410	68.76591121723985	7.981138236324982	233.6474145987029	18.63834266370181	301.5541668534173	24.53917690112023	3665.779348842138	168.9753371343725	1751.627047674463	44.95520919432656	601.6807150517243	23.62099306701613	
39633414218843994	27.69305132390984	4.425368725523099	259.0831959031289	19.51325301856168	316.9301991100232	24.53901049000383	2304.378991793838	126.9218034909996	1222.61201809798	41.61503723193774	377.2040122609907	12.82928511350471	
39633446477235211	45.11792441946932	8.158654555158954	369.4830160027705	34.39939207824359	720.2119790068783	55.25857759320175	3451.814909479621	166.6975350115333	2012.839979686021	57.2810298437829	659.114590230959	23.28759905209794	
39633451392960261	23.40314064263348	3.965966328833441	280.7575360958556	19.75572653779457	351.8024296009526	24.87330395161479	1721.102227146494	73.34954234031288	1074.276945834527	33.48942684429314	322.7263004015757	11.28502571955975	
39633470615453779	76.98446595756077	6.751858482334373	348.0200873650115	30.29530902158057	503.4718428757768	42.415754081336	3692.939177669646	222.4105741844266	1962.021119716409	58.40323389609163	631.8780477308259	26.07839586620977	
39633470649010643	32.2873110327976	6.360219227001304	416.0104073765143	35.89740290147588	542.3801037149709	38.08218554771348	1622.587263981991	82.48843471155999	1238.61788406095	33.25967271713213	462.4513442487069	13.39836928889998	
39633496385259595	22.36635450636282	4.142040237224947	116.7086925211671	13.33579692808113	153.2924264951477	14.0457194276207	1167.536300398353	40.74177791610554	586.4235344750979	14.3790030259714	212.0349156798293	6.399575920572187	
39627490846573810	33.27657700664733	6.390227870104053	123.6487708225126	10.06864263195697	172.9036507631619	12.37645708328693	1911.781248903994	88.30279784059479	876.0670308713107	21.66954912614581	305.599465447692	8.606812772582396	
39627520357700745	25.07490003121682	3.420975795060974	281.0265049751705	18.75850415112057	330.770756996188	21.66508110460109	1990.082348109367	102.5309699888869	1060.766034830057	34.72273716647746	358.1599007266109	11.20650652004996	
39627633884922128	42.25823801875364	5.243946372990007	156.0132251825397	14.12356443682914	219.5529108200706	14.73546068201742	1868.759177405866	63.04440721445871	1007.253324717445	18.00561021198942	347.3884141668804	7.784266293774083	
39627682060699059	48.4152575089109	7.844535128885552	841.1615427035523	95.69990783161663	790.4716753444426	110.9132046566597	3894.482188278042	130.778985750372	2681.156419536401	61.02165672107515	754.0091287545578	26.04001143383861	
39627634438579712	52.59400536407729	4.201854033238664	227.5125935414703	15.58436440761699	317.6783448926834	17.46677200879846	2089.093964337867	66.61152093517893	1319.579988337654	31.22712104552377	419.9914712107109	10.83129157390857	
39627688494764473	35.94255034827064	4.174653152463025	236.142462395073	17.66468839780644	314.0593830896809	23.79096755645299	2127.512095624066	115.2085020636086	1145.729082241315	24.95504774322202	374.0981031522396	13.5954775567027	
39627706547045668	50.671756560075	5.602439753148828	321.2487535079052	30.80772018877088	428.3148206741663	36.25943644268317	3536.923492723824	153.1723513596494	1515.104219918509	37.67053323259398	535.7541034248637	24.34189467374796	
39627730743986891	27.53149660486957	4.00642359451738	257.6392269907023	17.1894234544918	295.6947964613079	17.36908544315093	1818.18241425669	91.9132717213381	1161.100899988025	34.57092492801247	361.1525398013716	15.44813487659413	
39627718853136594	51.29458950942769	5.553279750447174	290.5435089694932	29.8369179553597	354.7263814058095	35.23586565004737	2861.701147406751	133.0335787078771	1451.98630625195	43.15976333693889	484.0264012642123	19.88059526412378	
39627730836265441	41.12571740314976	5.736610702715557	878.5250046485959	44.77940686874572	1123.439336801334	54.25320611069371	3377.373482514872	215.5732280530087	2464.972651922284	96.03599647137031	826.0453320614382	31.91432427931239	
39627749035351977	26.23014496918762	3.993989786010593	985.440687310614	83.50017322031188	1185.021172526228	121.7255453116061	4992.699432537569	269.8511351886231	4287.067565670404	129.2210000222007	1207.515099161824	60.09653973014147	
39627755238725057	42.08045903315207	2.956319749978898	310.7415181298393	13.88182631915642	364.7434684821383	18.82312712423201	2611.741297758882	137.0772275539211	1500.032499445036	48.50909596204	489.7488829022386	19.94340147623875	
39627773160983851	58.27935057833024	8.140249537280056	383.9306123064093	49.34097716181164	380.2926078493388	55.19979101244982	2531.503030814898	133.4516188539565	1405.418493174737	55.14470535958699	467.8179513506358	44.48838235471109	
39627797492146845	33.4285693583814	2.481440707383961	222.5536871851146	17.99810114461161	301.9244320285454	22.67979600796385	2232.130803447095	93.82610575989713	1133.151979136857	30.18504925295877	399.4745661189586	10.84127808932972	
39627815485706870	49.02985732675263	6.731681026522603	239.2751551902277	26.57363252606113	279.9950160612557	32.69462733056731	2336.680541003782	143.5188177710966	1157.320781385089	33.73444001924214	390.2327853545538	14.07313381422816	
39627827485612702	29.35694509694382	4.951597510883219	491.5249606677747	32.18222563146997	641.674731377943	42.49973616654533	2895.003250413787	144.9160055028296	1721.577221275267	59.57806816942602	619.9090208479291	16.60573429797692	
39627827661769567	62.41581342092419	8.916562215137061	741.1911816230344	79.76442368499616	1125.719650568762	132.9466928144427	5238.603279147119	286.6482801189296	3088.107822191472	100.6499242229265	958.7272077322417	24.70658962034396	
39627839636508135	75.71147214031403	8.080239657191543	406.7895093248945	32.70196152339724	577.219482981885	40.85141855230881	3431.063081899748	144.3439448942901	2056.413009515108	88.83300377637072	716.051831830431	38.27946209058992	
39627845642753157	16.05262489031134	3.091939761981011	228.2636669767444	17.22045908018807	323.2971131087662	21.32607366574942	1482.591975665172	68.14568926388269	924.6083945156242	31.17884262992944	292.2826303553562	14.08102142063007	
39627857739124014	157.0350245644555	6.760667441157512	1208.01722460747	119.5728843720223	1378.392773880539	143.8575872783324	13331.33091906388	946.8501885092671	6869.620176929609	241.2179227524482	2159.244692136539	68.25247925414287	
39627863690843678	160.976632667373	9.993698979427704	167.5672381097918	28.37666377275986	238.5376333211652	35.22380851903106	5016.726378539182	268.278114713958	2616.990728022373	57.69143473814562	1005.451040470244	23.91947070262747	
39627887887785706	21.03977841085704	3.728192020668886	243.3817347977486	15.49023010139673	296.2053431623325	18.06776283020021	1434.466343332914	68.14865857769658	839.9170117940654	23.13573940337767	288.0547466325359	10.4311753944333	
39627700377225691	19.44753323728527	3.36215070013733	154.4068877360125	17.64067407537684	208.0153590530608	21.83400604803438	1454.044034927913	82.36495348873932	722.2665861848498	19.60088420963427	238.5722084024159	14.54097197475975	
39627712322601635	65.9304140762156	4.897847992631718	518.2790190612199	31.21681997364437	618.2004586017096	38.374989782688	3433.514147523703	123.6396675343432	1935.51773343529	54.40622520707114	686.6449573648948	18.64684152542086	
39627712473601269	30.70578075836939	3.470938866039404	192.7456963820028	16.68716956961299	236.4107897210288	21.0562699686269	2327.260798338853	98.29378759614058	1033.106315977199	33.43441201910785	327.140824064241	12.69958580004756	
39627742781643156	37.26222919056045	4.419343760368999	167.210380041759	13.23611302194449	186.109732830759	13.77743552679102	1804.412883745746	105.8653957979361	986.6813305803254	31.26068125831619	316.9868349700595	7.266292733612663	
39627754567632824	37.02818698193914	5.27671727381813	447.6944717175588	34.29524516166345	534.6546230658544	44.41787254823283	2839.333580985326	164.7656552901775	1683.817194244894	64.71230794443035	529.7491005561016	19.57872031000512	
39627772678636091	38.84303655330678	3.972445991923238	461.8237628418099	36.33005184677129	530.1377577061063	47.96553443573521	2813.111099490193	163.2453255781097	1657.84114539916	50.2829304840321	529.8191978566048	19.772499135142	
39627790982585523	105.0166713538272	8.547401497021015	329.0657475040437	42.77913183866379	444.6117812714496	57.28566425828034	4417.144078688674	261.7444126214945	2511.234111545979	74.01577553589203	885.1940166740201	32.72785559329671	
39627869495761644	36.23302828112909	5.09247409127738	210.0410218822159	17.27035912851706	279.5928830171824	22.28556244897349	1662.816215233658	64.69341857975299	1064.974699753813	26.03530716712596	314.8577010376432	23.22569024486345	
39627809278139576	57.56565201827762	5.734440666964502	389.999848648405	41.94370012690842	529.8616574901819	54.8723436196176	3240.910084429844	122.5436065273792	1863.389239097106	41.31357136034195	597.6115206294855	21.9689851011739	
39627827405916550	37.03770397562559	4.803110159798843	378.7296378224212	31.91052556311737	494.7212059247749	41.83442985563094	3178.133817787887	184.1773495751542	1678.010948874671	55.26545540117935	553.9081318527087	24.38324351972701	
39627959912368862	26.29921814515184	4.563647393168489	526.7278389186794	53.81867546772209	502.8287688904913	65.85461987045589	2830.239625095068	125.2912732839913	1779.613807457311	47.26778228251337	540.3382584786118	18.11591117421331	
39628025658084374	45.84485555854957	7.172679676067292	346.5116279366774	34.46215071736029	527.6579316687585	47.0288629536714	2677.459180948271	107.2438559698676	1646.680402926767	38.02363177715848	536.740563136146	16.68701693590744	
39628043475488098	38.82152704668432	6.428330302181497	193.6603881195209	14.26039530821994	260.8851156404725	18.77946716577954	1624.832475036801	53.92428792739265	911.5825370235385	25.24003591308368	307.8172452176905	16.60399477304908	
39628043530012035	37.80541440397703	5.979724488893821	311.954645121324	20.03300740284505	462.5158841882184	27.22073517069384	1649.330807350754	93.10388059988028	750.2011342694557	28.25369829125749	248.7167267789669	12.896349476872	
39628114380194418	64.06737933937731	4.615675181869364	117.7241092265896	19.16193881620539	155.3142250415186	23.66011630605752	2153.790600135785	132.5329444152364	1575.757877288572	62.79043023277796	573.4931188620191	29.54193399751932	
39628114489247325	83.0064028583877	5.935643558822634	298.533383184995	21.65230985069424	342.8484037273158	26.77837508052658	2742.775412107245	81.02379775766809	2330.659728117323	78.11338390790007	761.1289400468577	41.24061383642196	
39627472697825679	33.31040114470715	5.152766201090118	266.2443886350977	37.7531237420622	577.0667630984813	56.02335641639353	2562.517930496034	109.4417120195761	1669.043527259093	40.90076657398284	507.2261159879554	20.42584320302872	
39627502204747886	43.08384958854989	6.700733583080434	124.4896650103552	16.85730074033938	197.9470316968124	21.99686614437111	2242.717265024831	116.7854580627014	1162.938798971861	31.99416737139269	357.5967474596341	14.2971691230443	
39627543782889433	31.99327156971438	6.352260705529659	1157.782813037578	72.67249095810664	1440.795316832581	107.6413718532049	5370.970256966266	309.576161514207	3987.072910351319	155.6266776714866	1286.804787960659	66.78922093085588	
39627609562154593	154.0429975871217	15.34583108425455	3173.228776202594	271.8127303806016	3733.121781395482	367.6039178048829	17434.39462447567	1418.597110431689	12601.48723652708	652.6603243666001	3790.228465095211	178.4030876337478	
